id,ax,ay,az
0,15.128,-15.128,998.936
1,11.712,-16.104,1000.888
2,12.688,-14.152,999.912
3,11.712,-18.056,1001.376
4,12.2,-18.056,1003.328
5,13.664,-16.592,1000.4
6,10.736,-13.664,1005.28
7,12.688,-18.056,1006.744
8,15.128,-19.032,1002.84
9,12.688,-17.568,1003.816
10,12.2,-20.008,1004.792
11,15.616,-16.592,1005.28
12,14.152,-14.152,1004.792
13,12.688,-14.152,1003.328
14,11.224,-16.592,1002.352
15,16.104,-20.008,1003.816
16,9.76,-17.568,1000.888
17,14.64,-18.544,1005.28
18,15.616,-21.472,1002.84
19,10.736,-16.104,1003.328
20,11.224,-19.52,1003.328
21,11.224,-17.08,1002.352
22,14.152,-15.128,1002.352
23,9.272,-15.128,1004.792
24,14.152,-17.568,1003.816
25,14.64,-15.616,1003.816
26,12.688,-15.128,1006.256
27,13.176,-14.64,1003.816
28,12.2,-16.104,999.424
29,15.128,-16.592,1000.4
30,13.664,-14.64,1004.304
31,13.176,-15.128,1003.816
32,13.176,-18.056,999.912
33,15.128,-17.568,1002.84
34,14.152,-15.616,1004.792
35,12.688,-13.176,999.424
36,11.712,-16.104,1002.352
37,13.664,-14.64,999.912
38,15.616,-14.64,1000.4
39,14.64,-17.568,999.424
40,14.152,-16.592,1000.888
41,12.2,-12.688,1003.328
42,10.248,-14.64,1003.328
43,12.688,-18.056,1003.816
44,8.296,-13.664,1002.352
45,10.736,-15.128,1000.4
46,13.176,-15.128,1001.376
47,11.712,-13.176,1001.864
48,13.664,-15.616,1000.888
49,13.664,-15.616,1000.4
50,14.64,-17.08,1005.768
51,14.152,-17.568,1004.304
52,16.104,-16.592,999.424
53,13.176,-17.568,1000.4
54,11.224,-15.128,999.424
55,12.2,-16.592,1003.328
56,13.664,-15.616,1005.768
57,16.104,-18.056,1002.84
58,11.712,-19.032,1004.792
59,14.64,-15.616,1002.352
60,12.2,-14.152,1002.352
61,12.688,-14.64,1002.352
62,12.688,-19.52,1006.256
63,13.176,-17.08,1003.816
64,13.664,-18.056,1001.376
65,11.224,-18.056,998.936
66,10.736,-14.64,1005.28
67,13.664,-13.664,1004.304
68,13.664,-19.032,1004.792
69,13.176,-18.056,1000.4
70,16.104,-19.52,1005.28
71,16.104,-18.544,1004.792
72,14.152,-16.592,1001.864
73,14.152,-19.032,1001.376
74,12.688,-16.592,1004.304
75,19.032,-18.056,1001.864
76,12.688,-16.592,1005.28
77,13.664,-17.08,1007.72
78,13.664,-18.544,1002.84
79,12.688,-16.592,1002.84
80,15.128,-15.128,1000.888
81,8.296,-19.032,998.448
82,8.784,-16.104,1001.376
83,10.248,-15.616,998.448
84,15.128,-16.592,1002.352
85,13.664,-17.568,999.424
86,11.712,-16.104,999.912
87,12.2,-15.128,1000.888
88,11.224,-12.2,1001.864
89,12.688,-20.984,1002.352
90,12.2,-18.056,1004.304
91,13.664,-17.08,1006.256
92,15.616,-19.032,1004.304
93,11.224,-17.568,1001.864
94,13.176,-14.152,1003.816
95,12.688,-16.592,1002.84
96,13.664,-14.152,1005.28
97,13.176,-14.64,1004.792
98,13.176,-17.08,1001.864
99,12.2,-19.52,1002.352
100,10.736,-17.568,1004.792
101,13.664,-18.056,1002.84
102,11.224,-18.056,1003.328
103,14.64,-18.544,1001.864
104,12.688,-16.592,1003.328
105,14.152,-15.128,1005.768
106,10.248,-17.08,1002.352
107,11.712,-17.08,999.912
108,15.616,-17.08,1001.864
109,13.664,-16.592,1000.888
110,10.736,-12.688,1003.816
111,11.712,-12.2,1004.304
112,10.736,-17.568,1004.304
113,13.664,-15.128,1002.84
114,18.544,-17.08,1001.376
115,13.664,-17.568,999.912
116,9.272,-15.616,1003.328
117,15.128,-14.152,1003.328
118,15.128,-15.128,1002.352
119,13.664,-17.568,1002.84
120,11.224,-14.152,999.912
121,12.688,-16.104,1001.864
122,13.176,-16.104,1002.84
123,12.2,-17.568,1003.328
124,12.688,-16.104,997.472
125,11.224,-13.664,1000.888
126,15.616,-19.032,1000.888
127,12.688,-17.08,1004.792
128,12.688,-16.104,1003.816
129,14.152,-16.592,1001.864
130,13.176,-19.52,1003.328
131,14.152,-12.688,1002.352
132,14.152,-17.08,1001.864
133,11.712,-17.08,1001.864
134,11.712,-14.64,1004.304
135,15.616,-17.568,1005.768
136,15.128,-18.544,998.936
137,13.176,-18.544,1000.888
138,12.688,-17.08,1001.864
139,14.64,-18.056,1004.792
140,10.248,-15.128,1004.304
141,12.2,-14.152,1001.376
142,14.152,-16.104,1003.816
143,13.664,-11.712,1006.744
144,11.712,-17.08,1004.792
145,12.2,-16.592,1001.864
146,13.176,-17.568,1002.352
147,13.176,-19.032,1004.304
148,10.736,-16.104,1003.816
149,14.152,-10.736,1003.328
150,12.2,-16.104,1000.4
151,12.2,-20.496,1005.768
152,17.568,-17.568,1005.768
153,16.104,-18.544,1002.84
154,12.2,-16.592,1000.888
155,14.152,-16.104,1003.328
156,10.736,-15.128,1002.84
157,12.2,-15.128,1002.352
158,15.616,-16.592,1001.376
159,15.616,-14.64,1007.232
160,16.592,-13.664,1003.816
161,14.64,-14.152,1005.28
162,16.592,-19.032,1003.816
163,13.664,-17.568,1002.84
164,12.688,-17.08,1001.376
165,17.08,-15.128,1000.888
166,13.176,-13.176,1003.816
167,11.712,-16.104,998.936
168,10.248,-16.104,1004.792
169,10.736,-18.544,1001.376
170,11.712,-18.544,1002.352
171,9.76,-17.08,1002.84
172,13.664,-18.056,1005.768
173,11.712,-20.008,1002.84
174,15.128,-20.496,1002.352
175,11.712,-19.52,1004.792
176,14.152,-17.568,1006.256
177,14.152,-15.128,1001.864
178,11.224,-15.128,1004.792
179,15.616,-19.52,1002.84
180,16.104,-20.984,1005.768
181,12.2,-17.568,1003.328
182,12.688,-20.008,1003.816
183,13.664,-16.592,1002.84
184,15.128,-14.64,1002.84
185,14.152,-18.056,999.424
186,14.64,-16.104,1002.352
187,14.152,-12.688,1003.816
188,13.664,-15.616,999.424
189,12.688,-16.104,1004.792
190,13.176,-14.64,1001.864
191,11.224,-15.616,1002.352
192,13.664,-17.08,1006.256
193,9.76,-13.176,1004.792
